City_ID,City,Country,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category
3698,Yulin,China,122,Unhealthy for Sensitive Groups,5,Good,29,Good,12,Good,122,Unhealthy for Sensitive Groups
3699,Yuzhou,China,164,Unhealthy,6,Good,41,Good,26,Good,164,Unhealthy
3700,Zachagansk,Kazakhstan,39,Good,1,Good,39,Good,0,Good,23,Good
3701,Zamania,India,173,Unhealthy,4,Good,84,Moderate,5,Good,173,Unhealthy
3703,Zelenogradsk,Russian Federation,36,Good,1,Good,36,Good,0,Good,23,Good
3704,Zhetysay,Kazakhstan,102,Unhealthy for Sensitive Groups,1,Good,33,Good,4,Good,102,Unhealthy for Sensitive Groups
3705,Zhirnovsk,Russian Federation,44,Good,1,Good,44,Good,0,Good,25,Good
3706,Debre Birhan,Ethiopia,147,Unhealthy for Sensitive Groups,1,Good,25,Good,0,Good,147,Unhealthy for Sensitive Groups
3707,Dedham,United States of America,47,Good,1,Good,28,Good,9,Good,47,Good
3708,Deleni,Romania,53,Moderate,1,Good,39,Good,0,Good,53,Moderate
3709,Delmenhorst,Germany,67,Moderate,1,Good,31,Good,5,Good,67,Moderate
3710,Dera Ghazi Khan,Pakistan,174,Unhealthy,3,Good,150,Unhealthy,1,Good,174,Unhealthy
3711,Des Moines,United States of America,59,Moderate,2,Good,18,Good,10,Good,59,Moderate
3712,Det Udom,Thailand,54,Moderate,1,Good,29,Good,0,Good,54,Moderate
3713,Devli,India,185,Unhealthy,1,Good,38,Good,0,Good,185,Unhealthy
3714,Dhanera,India,172,Unhealthy,0,Good,29,Good,0,Good,172,Unhealthy
3715,Dhone,India,35,Good,1,Good,35,Good,0,Good,24,Good
3716,Didao,China,53,Moderate,2,Good,42,Good,0,Good,53,Moderate
3717,Dinan,France,51,Moderate,1,Good,21,Good,5,Good,51,Moderate
3718,Dix Hills,United States of America,68,Moderate,2,Good,12,Good,27,Good,68,Moderate
3719,Diyarb Najm,Egypt,111,Unhealthy for Sensitive Groups,2,Good,54,Moderate,5,Good,111,Unhealthy for Sensitive Groups
3720,Doetinchem,Netherlands,46,Good,1,Good,19,Good,8,Good,46,Good
3721,Dole,France,55,Moderate,1,Good,30,Good,1,Good,55,Moderate
3723,Umuarama,Brazil,18,Good,0,Good,18,Good,1,Good,16,Good
3724,Urucuca,Brazil,40,Good,1,Good,8,Good,2,Good,40,Good
3725,Ust Ordynskiy,Russian Federation,41,Good,1,Good,38,Good,0,Good,41,Good
